Year,Region,Fuel_Type,Transmission,Model,Price_USD,Type
2010,Africa,Diesel,Automatic,3 Series,91323,Actual
2011,Africa,Diesel,Automatic,3 Series,83495,Actual
2012,Africa,Diesel,Automatic,3 Series,82102,Actual
2013,Africa,Diesel,Automatic,3 Series,79150,Actual
2014,Africa,Diesel,Automatic,3 Series,71229,Actual
2015,Africa,Diesel,Automatic,3 Series,69358,Actual
2016,Africa,Diesel,Automatic,3 Series,77877,Actual
2017,Africa,Diesel,Automatic,3 Series,79174,Actual
2018,Africa,Diesel,Automatic,3 Series,74912,Actual
2019,Africa,Diesel,Automatic,3 Series,88216,Actual
2020,Africa,Diesel,Automatic,3 Series,88726,Actual
2021,Africa,Diesel,Automatic,3 Series,67329,Actual
2022,Africa,Diesel,Automatic,3 Series,81245,Actual
2023,Africa,Diesel,Automatic,3 Series,77497,Actual
2024,Africa,Diesel,Automatic,3 Series,79632,Actual
2025,Africa,Diesel,Automatic,3 Series,78475,Forecast
2026,Africa,Diesel,Automatic,3 Series,78370,Forecast
2027,Africa,Diesel,Automatic,3 Series,78266,Forecast
2010,Africa,Diesel,Manual,3 Series,79079,Actual
2011,Africa,Diesel,Manual,3 Series,70042,Actual
2012,Africa,Diesel,Manual,3 Series,109590,Actual
2013,Africa,Diesel,Manual,3 Series,76060,Actual
2014,Africa,Diesel,Manual,3 Series,83546,Actual
2015,Africa,Diesel,Manual,3 Series,72762,Actual
2016,Africa,Diesel,Manual,3 Series,71305,Actual
2017,Africa,Diesel,Manual,3 Series,85402,Actual
2018,Africa,Diesel,Manual,3 Series,84441,Actual
2019,Africa,Diesel,Manual,3 Series,69233,Actual
2020,Africa,Diesel,Manual,3 Series,101813,Actual
2021,Africa,Diesel,Manual,3 Series,76292,Actual
2022,Africa,Diesel,Manual,3 Series,83974,Actual
2023,Africa,Diesel,Manual,3 Series,77591,Actual
2024,Africa,Diesel,Manual,3 Series,71556,Actual
2025,Africa,Diesel,Manual,3 Series,71425,Forecast
2026,Africa,Diesel,Manual,3 Series,68317,Forecast
2027,Africa,Diesel,Manual,3 Series,65209,Forecast
2010,Africa,Electric,Automatic,3 Series,93060,Actual
2011,Africa,Electric,Automatic,3 Series,68444,Actual
2012,Africa,Electric,Automatic,3 Series,83012,Actual
2013,Africa,Electric,Automatic,3 Series,91316,Actual
2014,Africa,Electric,Automatic,3 Series,81199,Actual
2015,Africa,Electric,Automatic,3 Series,68575,Actual
2016,Africa,Electric,Automatic,3 Series,62063,Actual
